"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Shelter in Place (SIP),Days before March 16,Days After March 16/before SIP,Days before SIP,Days of SIP,Growth Rate Before March 16,Growth Rate After March 16 Order Before SIP,Growth After SIP to Current,Total Growth Rate
"Chester, PA",39.973965,-75.749732,498894,39.3,1517,81380,664.7,533.93,18,43913,3,7,10,8,1.587401052,1.389495494,1.188275497,1.325256186
"Monroe, PA",41.056233,-75.329037,166355,40.3,249,54703,279.2,395.7,22,43913,7,7,14,8,1.368738107,1.250351957,1.237173029,1.281916202
"Montgomery, PA",40.209999,-75.370201,782339,40.6,5342,74819,1655.9,157.96,24,43913,9,7,16,8,1.351066752,1.231673206,1.204094696,1.265567176
"Philadelphia, PA",40.009376,-75.133346,1547297,33.5,8124,36959,11379.5,270.4,21,43913,6,7,13,8,1.414213562,1.485994289,1.338025755,1.407732943
"Kershaw, SC",34.338356,-80.590885,60042,40.2,107,45268,84.9,206.41,25,43916,10,10,20,5,1.327531675,1.141755481,1.104083361,1.204613073
"Lancaster, SC",34.686818,-80.703689,77767,39.7,89,40286,139.6,453.34,20,43916,5,10,15,5,1.148698355,1.133461582,1.164658616,1.144997565
"Lexington, SC",33.892554,-81.272853,255607,37.9,487,52062,375.4,938.96,17,43916,2,10,12,5,1.414213562,1.258925412,1.219755409,1.264461222
"Davidson, TN",36.169129,-86.78479,635710,33.9,4113,46249,1243.3,279.28,23,43913,8,7,15,8,1.495348781,1.329963395,1.144319847,1.31472422
"Shelby, TN",35.183794,-89.895397,920232,34.6,3695,41880,1215.5,689.21,23,43914,8,8,16,7,1.090507733,1.693023442,1.16618088,1.297009834
"Bexar, TX",29.448671,-98.520147,1651448,32.8,6410,45315,1383.1,516.86,48,43914,33,8,41,7,1.080826189,1.229760941,1.1723733,1.117504761
"Collin, TX",33.193885,-96.578153,791631,35,1959,77905,930,900.39,22,43914,7,8,15,7,1.345900193,1.266625524,1.170979141,1.25946839
"Dallas, TX",32.766987,-96.778424,2451730,32.5,7881,46044,2718,424.8,21,43913,6,7,13,8,1.383087554,1.414987903,1.188034437,1.31522474
"El Paso, TX",31.766403,-106.241391,751296,31.3,1568,36078,790.6,370.4,18,43914,3,8,11,7,1.25992105,1.251033405,1.226143362,1.242759874
"Fort Bend, TX",29.526602,-95.771015,556870,35,1258,80548,679.5,3012.64,27,43915,12,9,21,6,1.200936955,1.220284936,1.169268422,1.200203202
"Harris, TX",29.857273,-95.393037,4070989,32.2,12976,50577,2402.4,206.96,26,43914,11,8,19,7,1.113101713,1.338582617,1.26116531,1.21839048
"Tarrant, TX",32.77204,-97.291291,1789900,33.4,3441,53757,2094.7,322.34,21,43914,6,8,14,7,1.307660486,1.3555424,1.173801721,1.278825642
"Travis, TX",30.239513,-97.69127,1026158,31.9,3316,53434,1034.4,634,18,43914,3,8,11,7,1.144714243,1.380176028,1.146734492,1.244802356
"Davis, UT",41.037045,-112.202123,300827,29.2,516,66220,1025.8,445.16,25,43917,10,11,21,4,1.148698355,1.258111384,1.13848502,1.19390885
"Salt Lake, UT",40.667882,-111.924244,1034989,30.8,4019,56954,1387.1,352.05,35,43917,20,11,31,4,1.16158635,1.23939467,1.169068157,1.186369198
"Summit, UT",40.87206,-110.968486,36969,37.1,203,73769,19.4,2612.73,17,43917,2,11,13,4,2.34520788,1.232846739,1.127864246,1.30217694
"Bennington, VT",43.035325,-73.11146,36411,45.1,154,44686,55,180.27,24,43915,9,9,18,6,1.129830964,1.155305459,1.085542014,1.127984212
"Chittenden, VT",44.460676,-73.070525,152313,36.2,1320,60182,291.7,127.26,20,43915,5,9,14,6,1.319507911,1.33806767,1.184622971,1.285559492
"Windsor, VT",43.588143,-72.591515,56552,45.8,286,48326,58.5,105.98,17,43915,2,9,11,6,1.224744871,1.212559543,1.009571923,1.13797288
